,Accuracy,Precision,Recall,F1,AUC,N,Contamination
LOF,0.985,0.1,0.14285714285714285,0.11764705882352941,0.8480794130340958,1000.0,0.01
LOF,0.921,0.2,0.20408163265306123,0.20202020202020204,0.6641236936414945,1000.0,0.05
LOF,0.88,0.48,0.41379310344827586,0.4444444444444445,0.6860225854267437,1000.0,0.1
LOF,0.765,0.445,0.41784037558685444,0.43099273607748184,0.6446898246744337,1000.0,0.2
LOF,0.9845,0.3,0.2608695652173913,0.27906976744186046,0.7279034989333861,2000.0,0.01
LOF,0.9415,0.36,0.4044943820224719,0.380952380952381,0.8004662539172972,2000.0,0.05
LOF,0.895,0.465,0.4744897959183674,0.46969696969696967,0.7954927259151998,2000.0,0.1
LOF,0.801,0.5275,0.5023809523809524,0.5146341463414634,0.76205545509343,2000.0,0.2
LOF,0.9863333333333333,0.16666666666666666,0.23809523809523808,0.19607843137254902,0.8112661647404849,3000.0,0.01
LOF,0.9516666666666667,0.5266666666666666,0.5163398692810458,0.5214521452145214,0.8674467562461117,3000.0,0.05
LOF,0.8903333333333333,0.46,0.4524590163934426,0.456198347107438,0.7646297028498434,3000.0,0.1
LOF,0.8216666666666667,0.5633333333333334,0.5531914893617021,0.5582163501238646,0.7981703511525481,3000.0,0.2
LOF,0.98775,0.375,0.38461538461538464,0.37974683544303806,0.9351950750587459,4000.0,0.01
LOF,0.944,0.505,0.4469026548672566,0.4741784037558685,0.8209277731661907,4000.0,0.05
LOF,0.91025,0.59,0.5475638051044084,0.5679903730445247,0.8506311437949499,4000.0,0.1
LOF,0.85075,0.63125,0.6257744733581165,0.6285003111387678,0.8417113256189676,4000.0,0.2
LOF,0.9846,0.38,0.2923076923076923,0.3304347826086957,0.8454321564959864,5000.0,0.01
LOF,0.9466,0.54,0.47038327526132406,0.5027932960893855,0.869517628976417,5000.0,0.05
LOF,0.907,0.566,0.5329566854990584,0.5489815712900097,0.8419705702266166,5000.0,0.1
LOF,0.8534,0.647,0.6299902629016553,0.6383818450912679,0.8435882077440444,5000.0,0.2
LOF,0.987,0.4166666666666667,0.36764705882352944,0.390625,0.899615991035659,6000.0,0.01
LOF,0.9488333333333333,0.54,0.48942598187311176,0.5134706814580031,0.8765832515738587,6000.0,0.05
LOF,0.916,0.6,0.5769230769230769,0.5882352941176471,0.8590341272226039,6000.0,0.1
LOF,0.8513333333333334,0.6341666666666667,0.6268533772652389,0.6304888152444077,0.8437746764141155,6000.0,0.2
LOF,0.9872857142857143,0.4142857142857143,0.37662337662337664,0.3945578231292517,0.8609350349203013,7000.0,0.01
LOF,0.9495714285714286,0.5342857142857143,0.4960212201591512,0.514442916093535,0.8651792583597632,7000.0,0.05
