,Accuracy,Precision,Recall,F1,AUC,N,Contamination
GODE,0.9620455453455853,1.0,0.20833333333333334,0.3448275862068966,0.9941705133585117,2503.0,0.01
LOF,0.9584498601677987,0.8076923076923077,0.175,0.2876712328767123,0.8835431528885159,2503.0,0.01
kNN,0.962445065920895,1.0,0.21666666666666667,0.3561643835616438,0.9786263813120717,2503.0,0.01
CBLOF,0.962445065920895,1.0,0.21666666666666667,0.3561643835616438,0.9484333473213037,2503.0,0.01
OCSVM,0.8877347183379944,0.17928286852589642,0.375,0.24258760107816707,0.7364701356833124,2503.0,0.01
MCD,0.962445065920895,1.0,0.21666666666666667,0.3561643835616438,0.9808854385228704,2503.0,0.01
Feature Bagging,0.9584498601677987,0.8076923076923077,0.175,0.2876712328767123,0.8893866275003497,2503.0,0.01
ABOD,0.9616460247702757,0.9615384615384616,0.20833333333333334,0.3424657534246575,0.966810043362708,2503.0,0.01
Isolation Forest,0.962445065920895,1.0,0.21666666666666667,0.3561643835616438,0.9569974821653378,2503.0,0.01
HBOS,0.9488613663603676,0.3333333333333333,0.06666666666666667,0.1111111111111111,0.8223073157084908,2503.0,0.01
SOS,0.9456652017578905,0.19230769230769232,0.041666666666666664,0.0684931506849315,0.5407959155126592,2503.0,0.01
LSCP,0.9616460247702757,0.9615384615384616,0.20833333333333334,0.3424657534246575,0.9748461323261994,2503.0,0.01
GODE,0.9884139033160207,0.864,0.9,0.8816326530612244,0.9941705133585117,2503.0,0.05
LOF,0.937674790251698,0.35714285714285715,0.375,0.3658536585365853,0.8835431528885159,2503.0,0.05
kNN,0.981622053535757,0.7936507936507936,0.8333333333333334,0.8130081300813008,0.9786263813120717,2503.0,0.05
CBLOF,0.9744306831801838,0.7222222222222222,0.7583333333333333,0.7398373983739837,0.9484333473213037,2503.0,0.05
OCSVM,0.9188973232121455,0.3346613545816733,0.7,0.4528301886792453,0.8742026856903063,2503.0,0.05
MCD,0.9824210946863764,0.8015873015873016,0.8416666666666667,0.821138211382114,0.9808854385228704,2503.0,0.05
Feature Bagging,0.9544546544147023,0.5238095238095238,0.55,0.5365853658536585,0.8893866275003497,2503.0,0.05
ABOD,0.9792249300838993,0.7698412698412699,0.8083333333333333,0.7886178861788617,0.966810043362708,2503.0,0.05
Isolation Forest,0.9648421893727527,0.626984126984127,0.6583333333333333,0.6422764227642277,0.9569974821653378,2503.0,0.05
HBOS,0.9188973232121455,0.168,0.175,0.17142857142857143,0.8223073157084908,2503.0,0.05
SOS,0.9121054734318818,0.10317460317460317,0.10833333333333334,0.1056910569105691,0.5407959155126592,2503.0,0.05
LSCP,0.9784258889332801,0.7619047619047619,0.8,0.7804878048780488,0.9748461323261994,2503.0,0.05
GODE,0.9448661606072712,0.464,0.9666666666666667,0.627027027027027,0.9941705133585117,2503.0,0.1
LOF,0.8973232121454255,0.22709163346613545,0.475,0.307277628032345,0.8835431528885159,2503.0,0.1
kNN,0.9420695165801038,0.450199203187251,0.9416666666666667,0.6091644204851752,0.9786263813120717,2503.0,0.1
CBLOF,0.9372752696763883,0.4262948207171315,0.8916666666666667,0.5768194070080863,0.9484333473213037,2503.0,0.1
OCSVM,0.9356771873751498,0.41832669322709165,0.875,0.5660377358490566,0.9559343964190795,2503.0,0.1
MCD,0.9412704754294846,0.44621513944223107,0.9333333333333333,0.6037735849056604,0.9808854385228704,2503.0,0.1
Feature Bagging,0.9196963643627647,0.3386454183266932,0.7083333333333334,0.4582210242587601,0.8893866275003497,2503.0,0.1
ABOD,0.9404714342788654,0.44223107569721115,0.925,0.5983827493261455,0.966810043362708,2503.0,0.1
Isolation Forest,0.9340791050739113,0.4103585657370518,0.8583333333333333,0.555256064690027,0.9569974821653378,2503.0,0.1
HBOS,0.898921294446664,0.23076923076923078,0.475,0.31062670299727524,0.8223073157084908,2503.0,0.1
SOS,0.8645625249700359,0.06374501992031872,0.13333333333333333,0.0862533692722372,0.5407959155126592,2503.0,0.1
LSCP,0.9428685577307231,0.4541832669322709,0.95,0.61455525606469,0.9748461323261994,2503.0,0.1
GODE,0.8473831402317219,0.238,0.9916666666666667,0.38387096774193546,0.9941705133585117,2503.0,0.2
LOF,0.8086296444266879,0.14171656686626746,0.5916666666666667,0.2286634460547504,0.8835431528885159,2503.0,0.2
kNN,0.8445864962045545,0.2315369261477046,0.9666666666666667,0.37359098228663445,0.9786263813120717,2503.0,0.2
CBLOF,0.8389932081502197,0.21756487025948104,0.9083333333333333,0.35104669887278583,0.9484333473213037,2503.0,0.2
OCSVM,0.9396723931282461,0.43824701195219123,0.9166666666666666,0.5929919137466307,0.9731745698699118,2503.0,0.2
MCD,0.8445864962045545,0.2315369261477046,0.9666666666666667,0.37359098228663445,0.9808854385228704,2503.0,0.2
Feature Bagging,0.8278066320415501,0.18962075848303392,0.7916666666666666,0.30595813204508854,0.8893866275003497,2503.0,0.2
ABOD,0.8413903316020775,0.22355289421157684,0.9333333333333333,0.3607085346215781,0.966810043362708,2503.0,0.2
Isolation Forest,0.839792249300839,0.21956087824351297,0.9166666666666666,0.35426731078904994,0.9569974821653378,2503.0,0.2
HBOS,0.8114262884538553,0.148,0.6166666666666667,0.2387096774193548,0.8223073157084908,2503.0,0.2
SOS,0.77427087495006,0.05588822355289421,0.23333333333333334,0.09017713365539452,0.5407959155126592,2503.0,0.2
LSCP,0.8453855373551737,0.23353293413173654,0.975,0.3768115942028985,0.9748461323261994,2503.0,0.2
