,Accuracy,Precision,Recall,F1,AUC,N,Contamination,kappa
GODE,0.991,0.4,0.5714285714285714,0.47058823529411764,0.9535318659185729,1000,0.01,
GODE,0.9862,0.46,0.35384615384615387,0.4,0.8755139895565427,5000,0.01,
GODE,0.9873,0.38,0.36893203883495146,0.37438423645320196,0.8877241411784096,10000,0.01,
GODE,0.957,0.56,0.5714285714285714,0.5656565656565656,0.8930878345028863,1000,0.05,
GODE,0.9566,0.64,0.5574912891986062,0.595903165735568,0.8846233747415222,5000,0.05,
GODE,0.9586,0.592,0.5849802371541502,0.5884691848906561,0.8912920663019123,10000,0.05,
GODE,0.918,0.67,0.5775862068965517,0.6203703703703703,0.8578853955375254,1000,0.1,
GODE,0.9166,0.614,0.5781544256120528,0.5955383123181378,0.8625606237402756,5000,0.1,
GODE,0.9236,0.628,0.615686274509804,0.6217821782178218,0.8800619022664746,10000,0.1,
LOF,0.985,0.1,0.14285714285714285,0.11764705882352941,0.8480794130340958,1000,0.01,
LOF,0.921,0.2,0.20408163265306123,0.20202020202020204,0.6641236936414945,1000,0.05,
LOF,0.88,0.48,0.41379310344827586,0.4444444444444445,0.6860225854267437,1000,0.1,
LOF,0.9846,0.38,0.2923076923076923,0.3304347826086957,0.8454321564959864,5000,0.01,
LOF,0.9466,0.54,0.47038327526132406,0.5027932960893855,0.869517628976417,5000,0.05,
LOF,0.907,0.566,0.5329566854990584,0.5489815712900097,0.8419705702266166,5000,0.1,
LOF,0.9861,0.32,0.3106796116504854,0.31527093596059114,0.8595847913116752,10000,0.01,
LOF,0.954,0.546,0.5395256916996047,0.5427435387673957,0.8757963215377967,10000,0.05,
LOF,0.9184,0.602,0.5901960784313726,0.596039603960396,0.8601955871435434,10000,0.1,
kNN,0.991,0.4,0.5714285714285714,0.47058823529411764,0.918644799309452,1000.0,0.01,
kNN,0.947,0.46,0.46938775510204084,0.46464646464646464,0.8479903002210347,1000.0,0.05,
kNN,0.898,0.57,0.49137931034482757,0.5277777777777778,0.7965897565922921,1000.0,0.1,
kNN,0.9854,0.42,0.3230769230769231,0.3652173913043478,0.8161780063907724,5000.0,0.01,
kNN,0.9518,0.592,0.5156794425087108,0.5512104283054003,0.869347589993132,5000.0,0.05,
kNN,0.9126,0.594,0.559322033898305,0.5761396702230843,0.830611296316664,5000.0,0.1,
kNN,0.9857,0.3,0.2912621359223301,0.2955665024630542,0.8700454487041773,10000.0,0.01,
kNN,0.9558,0.564,0.5573122529644269,0.5606361829025844,0.8676679300677523,10000.0,0.05,
kNN,0.9182,0.601,0.5892156862745098,0.595049504950495,0.8498157124765273,10000.0,0.1,
CBLOF,0.983,0.0,0.0,0.0,0.5446698316788952,1000.0,0.01,
CBLOF,0.911,0.1,0.10204081632653061,0.10101010101010102,0.533402004334857,1000.0,0.05,
CBLOF,0.818,0.17,0.14655172413793102,0.15740740740740738,0.5598377281947261,1000.0,0.1,
CBLOF,0.977,0.0,0.0,0.0,0.5661600810536981,5000.0,0.01,
CBLOF,0.8998,0.072,0.0627177700348432,0.0670391061452514,0.5714692329245743,5000.0,0.05,
CBLOF,0.8226,0.144,0.13559322033898305,0.1396702230843841,0.5659236953122135,5000.0,0.1,
CBLOF,0.9797,0.0,0.0,0.0,0.5434646764587877,10000.0,0.01,
CBLOF,0.9082,0.088,0.08695652173913043,0.08747514910536779,0.592324172287719,10000.0,0.05,
CBLOF,0.8278,0.149,0.14607843137254903,0.14752475247524752,0.5773518494257391,10000.0,0.1,
OCSVM,0.895,0.01,0.14285714285714285,0.018691588785046728,0.7865055387713997,1000.0,0.01,
OCSVM,0.893,0.21,0.42857142857142855,0.28187919463087246,0.7887508315629091,1000.0,0.05,
OCSVM,0.86,0.38,0.3275862068965517,0.35185185185185186,0.7224508503666718,1000.0,0.1,
OCSVM,0.9018,0.074,0.5692307692307692,0.13097345132743363,0.7711916452341985,5000.0,0.01,
OCSVM,0.907,0.322,0.5609756097560976,0.409148665819568,0.8089493734802766,5000.0,0.05,
OCSVM,0.8982,0.522,0.4915254237288136,0.5063045586808924,0.7945440424704356,5000.0,0.1,
OCSVM,0.8995,0.049,0.47572815533980584,0.08884859474161379,0.7844409063843021,10000.0,0.01,
OCSVM,0.9108,0.307,0.6067193675889329,0.4077025232403719,0.8305486885413795,10000.0,0.05,
OCSVM,0.9136,0.578,0.5666666666666667,0.5722772277227721,0.8148200794794532,10000.0,0.1,
MCD,0.983,0.0,0.0,0.0,0.3446986045173356,1000.0,0.01,
MCD,0.911,0.1,0.10204081632653061,0.10101010101010102,0.45400115882315073,1000.0,0.05,
MCD,0.826,0.21,0.1810344827586207,0.19444444444444442,0.5212299110625682,1000.0,0.1,
MCD,0.9786,0.08,0.06153846153846154,0.06956521739130433,0.46623334112695813,5000.0,0.01,
MCD,0.9046,0.12,0.10452961672473868,0.111731843575419,0.5183409222470874,5000.0,0.05,
MCD,0.8166,0.114,0.10734463276836158,0.11057225994180407,0.49270365973757696,5000.0,0.1,
MCD,0.9813,0.08,0.07766990291262135,0.07881773399014778,0.5137773435315791,10000.0,0.01,
MCD,0.9098,0.104,0.10276679841897234,0.1033797216699801,0.515476802074287,10000.0,0.05,
MCD,0.8222,0.121,0.11862745098039215,0.1198019801980198,0.5064375081881305,10000.0,0.1,
Feature Bagging,0.985,0.1,0.14285714285714285,0.11764705882352941,0.7936987483815278,1000.0,0.01,
Feature Bagging,0.921,0.2,0.20408163265306123,0.20202020202020204,0.6779973819180669,1000.0,0.05,
Feature Bagging,0.876,0.46,0.39655172413793105,0.425925925925926,0.6984416445623343,1000.0,0.1,
Feature Bagging,0.9846,0.38,0.2923076923076923,0.3304347826086957,0.8385192112851687,5000.0,0.01,
Feature Bagging,0.947,0.544,0.4738675958188153,0.5065176908752328,0.8675906437158396,5000.0,0.05,
Feature Bagging,0.9046,0.554,0.5216572504708098,0.5373423860329777,0.8437096904012114,5000.0,0.1,
Feature Bagging,0.9849,0.26,0.2524271844660194,0.2561576354679803,0.8752598365102302,10000.0,0.01,
Feature Bagging,0.953,0.536,0.5296442687747036,0.532803180914513,0.8743310732553365,10000.0,0.05,
Feature Bagging,0.9154,0.587,0.5754901960784313,0.5811881188118811,0.8591537840080353,10000.0,0.1,
ABOD,0.991,0.4,0.5714285714285714,0.47058823529411764,0.8384405121565243,1000.0,0.01,
ABOD,0.951,0.5,0.5102040816326531,0.5050505050505051,0.8639241185433164,1000.0,0.05,
ABOD,0.886,0.51,0.4396551724137931,0.4722222222222222,0.7804552192229677,1000.0,0.1,
ABOD,0.9854,0.42,0.3230769230769231,0.3652173913043478,0.7902579689813732,5000.0,0.01,
ABOD,0.9446,0.52,0.4529616724738676,0.48417132216014896,0.8372453388987832,5000.0,0.05,
ABOD,0.9054,0.558,0.5254237288135594,0.5412221144519884,0.8160464282297931,5000.0,0.1,
ABOD,0.9847,0.25,0.24271844660194175,0.24630541871921183,0.8488882087442404,10000.0,0.01,
ABOD,0.9528,0.534,0.5276679841897233,0.5308151093439364,0.849224307259588,10000.0,0.05,
ABOD,0.9062,0.541,0.5303921568627451,0.5356435643564357,0.8128351674745622,10000.0,0.1,
Isolation Forest,0.985,0.1,0.14285714285714285,0.11764705882352941,0.4977701050208603,1000.0,0.01,
Isolation Forest,0.925,0.24,0.24489795918367346,0.24242424242424243,0.6180175540247645,1000.0,0.05,
Isolation Forest,0.844,0.3,0.25862068965517243,0.2777777777777778,0.6585465751287252,1000.0,0.1,
Isolation Forest,0.9794,0.12,0.09230769230769231,0.10434782608695653,0.6472854804769699,5000.0,0.01,
Isolation Forest,0.9214,0.288,0.2508710801393728,0.2681564245810056,0.6734393933009076,5000.0,0.05,
Isolation Forest,0.8426,0.244,0.2297551789077213,0.23666343355965083,0.6344891508314865,5000.0,0.1,
Isolation Forest,0.9833,0.18,0.17475728155339806,0.17733990147783255,0.6172494165634188,10000.0,0.01,
Isolation Forest,0.9258,0.264,0.2608695652173913,0.26242544731610334,0.6870576049279303,10000.0,0.05,
Isolation Forest,0.8638,0.329,0.32254901960784316,0.32574257425742575,0.654202476090659,10000.0,0.1,
HBOS,0.987,0.0,0.0,0.0,0.6214933103150626,1000.0,0.01,
HBOS,0.921,0.10526315789473684,0.08163265306122448,0.09195402298850575,0.5297431275349256,1000.0,0.05,
HBOS,0.822,0.19,0.16379310344827586,0.17592592592592593,0.6110401388672181,1000.0,0.1,
HBOS,0.9796,0.0,0.0,0.0,0.5643441664718261,5000.0,0.01,
HBOS,0.9092,0.15918367346938775,0.13588850174216027,0.14661654135338342,0.569624679605894,5000.0,0.05,
HBOS,0.8216,0.13682092555331993,0.128060263653484,0.13229571984435798,0.5321370613799437,5000.0,0.1,
HBOS,0.9812,0.05263157894736842,0.04854368932038835,0.050505050505050504,0.5594609919059517,10000.0,0.01,
HBOS,0.9202,0.12176165803108809,0.09288537549407115,0.10538116591928251,0.5483078141301642,10000.0,0.05,
HBOS,0.8312,0.12806236080178174,0.11274509803921569,0.11991657977059438,0.5424242870867723,10000.0,0.1,
